DIM_GEOGRAPHY_KEY,LATITUDE,LONGITUDE,ISO2_CODE,ISO3_CODE,COUNTRY,ADMIN_REGION,ISO_SUB_DIVISION,ADMIN_REGION_2,RECID
43.01554_-87.58065,43.01554,-87.58065,US,USA,United States,Wisconsin,US-WI,Milwaukee County,2667
43.01825_-88.30452,43.01825,-88.30452,US,USA,United States,Wisconsin,US-WI,Waukesha County,3985
43.02076_-88.77587,43.02076,-88.77587,US,USA,United States,Wisconsin,US-WI,Jefferson County,4835
43.02076_-88.77588,43.02076,-88.77588,US,USA,United States,Wisconsin,US-WI,Jefferson County,3396
43.0217_-83.70676,43.0217,-83.70676,US,USA,United States,Michigan,US-MI,Genesee County,4967
43.03216_-85.5493,43.03216,-85.5493,US,USA,United States,Michigan,US-MI,Kent County,3233
43.03533_-73.09307,43.03533,-73.09307,US,USA,United States,Vermont,US-VT,Bennington County,4890
42.79344_-120.3874,42.79344,-120.3874,US,USA,United States,Oregon,US-OR,Lake County,5614
42.81813_-74.0586,42.81813,-74.0586,US,USA,United States,New York,US-NY,Schenectady County,2668
42.83212_-96.65607,42.83212,-96.65607,US,USA,United States,South Dakota,US-SD,Union County,2695
42.84472_-91.34074,42.84472,-91.34074,US,USA,United States,Iowa,US-IA,Clayton County,5405
42.85289_-77.29981,42.85289,-77.29981,US,USA,United States,New York,US-NY,Ontario County,3476
42.85426_-113.6375,42.85426,-113.6375,US,USA,United States,Idaho,US-ID,Minidoka County,3629
42.86259_-91.84431,42.86259,-91.84431,US,USA,United States,Iowa,US-IA,Fayette County,2593
42.86749_-90.70558,42.86749,-90.70558,US,USA,United States,Wisconsin,US-WI,Grant County,4467
42.8788_-99.7125,42.8788,-99.7125,US,USA,United States,Nebraska,US-NE,Keya Paha County,4910
42.8997_-98.76668,42.8997,-98.76668,US,USA,United States,Nebraska,US-NE,Boyd County,2576
42.90229_-74.4396,42.90229,-74.4396,US,USA,United States,New York,US-NY,Montgomery County,3134
42.91291_-75.66979,42.91291,-75.66979,US,USA,United States,New York,US-NY,Madison County,3350
42.91464_-96.97556,42.91464,-96.97556,US,USA,United States,South Dakota,US-SD,Clay County,2623
42.9153_-71.71604,42.9153,-71.71604,US,USA,United States,New Hampshire,US-NH,Hillsborough County,3386
42.91937_-72.25117,42.91937,-72.25117,US,USA,United States,New Hampshire,US-NH,Cheshire County,3237
42.93092_-82.66456,42.93092,-82.66456,US,USA,United States,Michigan,US-MI,St. Clair County,4295
42.93708_-75.61069,42.93708,-75.61069,US,USA,United States,New York,US-NY,,3732
42.94365_-84.60152,42.94365,-84.60152,US,USA,United States,Michigan,US-MI,Clinton County,3791
42.94509_-85.07458,42.94509,-85.07458,US,USA,United States,Michigan,US-MI,Ionia County,5313
42.94886_-86.42119,42.94886,-86.42119,US,USA,United States,Michigan,US-MI,Ottawa County,3589
42.95374_-84.14674,42.95374,-84.14674,US,USA,United States,Michigan,US-MI,Shiawassee County,5067
42.96215_-106.7986,42.96215,-106.7986,US,USA,United States,Wyoming,US-WY,Natrona County,4426
43.2041_-94.20671,43.2041,-94.20671,US,USA,United States,Iowa,US-IA,Kossuth County,5314
43.20775_-98.58817,43.20775,-98.58817,US,USA,United States,South Dakota,US-SD,Charles Mix County,4339
43.21651_-112.3981,43.21651,-112.3981,US,USA,United States,Idaho,US-ID,Bingham County,5370
43.23938_-103.5275,43.23938,-103.5275,US,USA,United States,South Dakota,US-SD,Fall River County,4671
43.2394_-90.93092,43.2394,-90.93092,US,USA,United States,Wisconsin,US-WI,Crawford County,4473
43.24173_-75.43577,43.24173,-75.43577,US,USA,United States,New York,US-NY,Oneida County,4378
43.27892_-96.72181,43.27892,-96.72181,US,USA,United States,South Dakota,US-SD,Lincoln County,3686
43.27978_-123.1665,43.27978,-123.1665,US,USA,United States,Oregon,US-OR,Douglas County,3438
43.28421_-91.37806,43.28421,-91.37806,US,USA,United States,Iowa,US-IA,Allamakee County,3638
43.29012_-86.53564,43.29012,-86.53564,US,USA,United States,Michigan,US-MI,Muskegon County,4853
43.29067_-91.84367,43.29067,-91.84367,US,USA,United States,Iowa,US-IA,Winneshiek County,3139
43.29272_-84.6049,43.29272,-84.6049,US,USA,United States,Michigan,US-MI,Gratiot County,4123
43.29764_-71.02947,43.29764,-71.02947,US,USA,United States,New Hampshire,US-NH,Strafford County,4892
43.29765_-71.68018,43.29765,-71.68018,US,USA,United States,New Hampshire,US-NH,Merrimack County,4275
43.30012_-77.67942,43.30012,-77.67942,US,USA,United States,New York,US-NY,Monroe County,3998
43.05647_-104.4754,43.05647,-104.4754,US,USA,United States,Wyoming,US-WY,Niobrara County,2967
43.05991_-92.78902,43.05991,-92.78902,US,USA,United States,Iowa,US-IA,Floyd County,4911
43.06001_-92.31767,43.06001,-92.31767,US,USA,United States,Iowa,US-IA,Chickasaw County,3943
43.06405_-118.9679,43.06405,-118.9679,US,USA,United States,Oregon,US-OR,Harney County,4116
43.06732_-89.41821,43.06732,-89.41821,US,USA,United States,Wisconsin,US-WI,Dane County,4286
43.08152_-93.2608,43.08152,-93.2608,US,USA,United States,Iowa,US-IA,Cerro Gordo County,3654
43.08187_-93.73425,43.08187,-93.73425,US,USA,United States,Iowa,US-IA,Hancock County,3061
43.08205_-94.67813,43.08205,-94.67813,US,USA,United States,Iowa,US-IA,Palo Alto County,5245
43.08257_-95.15091,43.08257,-95.15091,US,USA,United States,Iowa,US-IA,Clay County,4272
43.08259_-96.1779,43.08259,-96.1779,US,USA,United States,Iowa,US-IA,Sioux County,5219
43.08373_-95.62485,43.08373,-95.62485,US,USA,United States,Iowa,US-IA,O'Brien County,3900
42.78105_-76.82383,42.78105,-76.82383,US,USA,United States,New York,US-NY,Seneca County,3277
42.97102_-114.8115,42.97102,-114.8115,US,USA,United States,Idaho,US-ID,Gooding County,4003
42.97243_-105.5072,42.97243,-105.5072,US,USA,United States,Wyoming,US-WY,Converse County,3366
42.98763_-71.125,42.98763,-71.125,US,USA,United States,New Hampshire,US-NH,Rockingham County,3882
42.98826_-97.8844,42.98826,-97.8844,US,USA,United States,South Dakota,US-SD,Bon Homme County,4554
43.36554_-87.59453,43.36554,-87.59453,US,USA,United States,Wisconsin,US-WI,Ozaukee County,4523
43.36846_-88.23074,43.36846,-88.23074,US,USA,United States,Wisconsin,US-WI,Washington County,3927
43.37113_-78.23089,43.37113,-78.23089,US,USA,United States,New York,US-NY,Orleans County,3775
